,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,101,102,103,104,301,302,303,304
201,0.0,82.7,9.5,9.7,1.8,37.3,4.5,13.5,7.0,6.1,9.9,11.2,0.2,0.0,0.0,0.0,0.1,2.2,2.8,3.6,5.3,0.1,0.1,1.0,0.8
202,5.1,0.0,3.4,3.0,0.5,12.8,3.5,9.5,2.8,2.3,0.9,1.1,0.8,0.2,0.0,0.0,0.1,0.2,0.3,0.3,0.7,0.0,0.0,1.5,0.8
203,6.1,20.2,0.0,3.3,0.6,13.4,3.1,8.7,2.2,2.7,3.5,4.9,1.3,0.3,0.0,0.0,0.2,0.8,1.2,1.3,3.0,0.0,0.0,0.6,0.7
204,14.1,47.2,8.4,0.0,1.5,37.5,9.3,26.5,6.1,7.6,7.6,10.2,3.3,0.8,0.0,0.0,0.5,1.7,2.6,2.8,6.3,0.0,0.1,3.9,2.7
205,4.0,13.7,2.3,2.6,0.0,11.6,2.8,7.5,2.2,3.3,2.1,2.8,1.2,0.2,0.0,0.0,0.2,0.5,0.7,0.8,1.7,0.0,0.0,1.3,0.8
206,18.9,48.3,7.8,9.6,1.9,0.0,14.5,39.2,11.0,15.6,9.5,11.5,4.1,1.0,0.0,0.0,0.8,2.2,2.9,3.2,8.2,0.0,0.1,2.9,2.8
207,2.1,9.9,1.5,1.8,0.4,13.4,0.0,29.7,8.0,6.6,3.3,3.6,0.2,0.1,0.1,0.0,1.8,0.7,0.9,1.0,1.2,0.1,0.1,0.8,0.6
208,2.3,11.2,1.7,2.1,0.5,13.9,13.3,0.0,9.7,7.6,4.7,5.5,0.3,0.1,0.1,0.0,2.0,0.9,1.1,1.3,1.8,0.1,0.1,0.4,0.4
209,2.3,10.2,1.6,1.7,0.4,12.8,9.6,27.9,0.0,6.4,3.8,4.4,0.6,0.2,0.2,0.1,1.7,0.7,1.2,1.2,1.8,0.1,0.1,0.8,0.6
210,1.7,13.8,2.3,2.9,0.7,20.7,8.3,23.2,5.9,0.0,0.0,0.9,1.3,0.2,0.1,0.1,0.5,0.5,0.9,0.7,1.1,0.2,0.3,1.2,0.5
211,1.6,4.9,1.0,1.0,0.2,4.2,1.7,5.3,1.3,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
212,2.3,6.4,1.4,1.4,0.2,6.4,2.3,6.5,1.7,0.3,0.1,0.0,0.4,0.1,0.0,0.0,0.2,0.1,0.2,0.2,0.3,0.1,0.1,0.6,0.0
213,0.9,5.1,1.1,1.3,0.2,7.8,2.9,8.6,4.2,8.8,2.7,4.7,0.0,0.2,0.0,0.0,0.0,0.9,1.9,1.6,2.4,0.1,0.2,1.3,0.9
214,0.6,3.8,0.8,0.9,0.2,6.7,2.1,8.3,4.2,2.7,1.6,2.4,0.5,0.0,0.0,0.0,0.0,1.4,0.2,0.2,1.0,0.1,0.1,1.5,0.8
215,0.4,1.4,0.3,0.4,0.1,0.0,0.0,8.7,4.8,14.1,6.4,5.4,0.4,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.7,0.0,0.0,0.1,0.2
216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
217,0.2,0.7,0.1,0.2,0.0,1.4,10.3,43.5,3.7,19.1,18.3,14.0,0.2,0.0,0.1,0.0,0.0,1.1,4.0,7.2,10.9,0.0,0.0,0.0,0.2
101,7.1,3.5,2.3,2.2,0.3,12.0,9.0,28.7,10.4,9.1,4.1,4.0,2.5,0.3,0.0,0.0,0.2,0.0,3.9,4.0,7.2,0.0,0.1,0.6,0.5
102,6.6,3.9,2.7,2.6,0.4,11.5,9.3,29.5,10.7,9.4,3.9,3.9,3.0,0.1,0.0,0.0,0.1,1.8,0.0,3.4,6.5,0.3,0.2,1.6,0.7
103,16.0,8.2,4.3,4.2,0.7,20.0,15.9,48.7,18.0,19.2,7.8,7.6,4.2,0.5,0.0,0.0,0.3,5.6,9.5,0.0,13.0,0.4,0.4,3.5,1.5
104,11.8,9.5,6.0,5.8,0.9,29.0,14.7,43.7,15.5,19.6,6.5,6.2,0.9,0.5,0.0,0.0,0.3,4.3,7.7,6.1,0.0,2.0,1.7,4.9,1.2
301,1.0,4.4,0.9,1.0,0.2,9.1,2.4,9.4,4.0,12.4,3.5,3.6,3.1,0.3,0.0,0.0,0.1,0.5,2.6,2.1,7.9,0.0,0.3,1.0,0.2
302,0.9,3.6,0.8,0.9,0.2,8.0,2.5,9.3,3.6,10.8,3.1,3.2,2.5,0.3,0.0,0.0,0.2,1.2,2.4,1.9,7.1,0.3,0.0,0.8,0.2
303,3.6,13.6,2.5,3.3,0.7,16.9,9.0,22.5,9.1,20.9,6.2,6.3,4.0,0.7,0.0,0.0,0.5,3.1,7.3,3.1,12.5,0.6,0.7,0.0,0.8
304,3.2,10.0,2.8,2.6,0.6,20.9,7.5,25.5,6.7,9.3,2.6,2.4,0.8,0.2,0.0,0.0,0.3,3.3,6.4,4.2,7.9,0.4,0.4,1.3,0.0
