TAZ,SuperZone,trips_per_person,population
0,,0.0,34
101,1,1.069,5259
102,1,1.213,775
104,1,1.276,4203
105,,1.08,9286
106,1,1.264,6328
107,1,0.641,8087
108,1,0.816,7142
110,1,0.477,3888
111,1,0.553,4448
112,1,0.834,5859
114,1,1.092,2254
115,1,0.819,11771
116,1,0.982,7607
117,1,0.885,8707
118,1,0.91,4819
201,2,1.174,1027
202,2,1.314,3193
203,2,0.607,5038
204,2,0.0,570
205,2,0.665,2233
208,2,0.5,2100
209,2,0.591,6093
210,2,0.52,5120
214,2,0.422,4486
215,2,1.081,8115
216,2,0.818,6268
217,2,0.707,1661
219,2,0.889,3022
220,2,0.827,4034
221,2,0.995,1875
222,2,0.521,6899
223,2,0.5,869
224,2,1.0,402
225,2,0.74,4040
229,2,1.43,1072
230,2,0.534,7236
231,2,0.771,10373
232,2,0.822,1376
233,2,0.726,4622
235,2,0.788,6376
236,2,0.816,6741
239,2,1.072,6712
240,2,0.841,7840
242,2,0.84,7951
301,3,0.571,13633
303,3,1.683,4359
304,3,1.127,5690
305,3,1.05,900
309,3,0.998,6517
310,3,0.698,5077
313,3,0.748,6604
314,3,0.848,15917
315,3,0.0,1521
316,3,0.816,4847
317,3,0.763,7161
318,3,0.711,11432
321,3,0.588,405
322,3,0.7,139
323,3,0.999,3819
324,3,0.987,3135
325,3,0.333,4221
326,3,1.099,2970
327,3,0.88,6268
328,3,1.109,1500
329,3,1.793,1261
331,3,0.91,3756
332,3,1.004,1735
334,3,0.813,6694
335,3,0.769,5718
336,3,0.646,9993
337,3,0.701,2036
338,3,0.431,5701
401,4,0.674,7515
402,4,0.514,8403
403,4,0.681,6520
404,4,0.628,6727
405,4,0.52,8620
406,4,0.852,4469
407,4,0.427,6780
408,4,0.569,4004
409,4,0.741,4373
411,4,0.604,7548
412,4,0.545,7217
413,4,0.672,4363
414,4,0.965,2763
415,4,0.648,16638
418,4,0.518,3249
419,4,0.467,5181
420,4,1.0,124
421,4,0.709,6563
422,4,0.591,9606
501,5,0.831,8691
503,5,0.954,3496
504,5,0.826,4331
505,5,0.934,4343
506,5,0.159,840
507,5,1.015,1535
508,5,1.022,1830
509,5,1.332,2294
510,5,0.37,3739
511,5,0.838,2863
512,5,0.598,3385
513,5,0.414,3227
514,5,0.0,201
601,6,0.71,6140
602,6,1.101,4910
603,6,0.918,6068
604,6,1.0,1050
605,6,0.596,3469
606,6,0.62,3075
607,6,0.887,5078
608,6,1.585,3598
609,6,1.278,2061
610,6,0.436,1334
611,6,0.635,1427
612,6,0.952,5543
702,7,1.046,3872
703,7,1.357,5301
704,7,0.801,4263
705,7,0.761,4567
706,7,0.742,1752
707,7,0.799,3433
708,7,1.203,3644
709,7,1.136,5299
711,7,0.853,3608
712,7,0.0,262
713,7,0.875,449
714,7,0.794,686
726,7,0.582,4071
801,8,0.828,1662
802,8,1.213,4497
803,8,0.912,5007
804,8,0.987,4366
805,8,0.829,3499
806,8,0.857,4137
807,8,0.463,4480
808,8,1.12,2419
809,8,1.002,6028
901,9,0.92,4077
902,9,0.669,3814
903,9,1.479,4635
904,9,0.616,4688
906,9,1.277,9903
907,9,1.33,3474
908,9,0.781,3602
909,9,1.009,3639
910,9,1.463,6481
912,9,0.875,382
913,9,1.093,8725
921,9,0.995,6875
1001,10,0.649,1095
1002,10,0.695,13103
1003,10,0.528,8140
1004,10,0.752,2813
1005,10,0.908,1254
1006,10,0.643,8805
1102,11,0.781,7525
1104,11,1.259,8888
1106,11,1.007,5138
1107,11,0.789,5753
1302,13,0.917,1145
1303,13,0.833,1050
1304,13,0.857,2450
1305,13,0.727,2717
1307,13,0.0,2
1309,13,0.667,937
1310,13,2.08,1910
1311,13,0.0,774
1401,14,1.164,282
1402,14,1.3,1251
1403,14,0.56,1446
1404,14,0.842,4226
1405,14,1.369,2620
1406,14,1.136,2524
1407,14,1.15,1146
1408,14,0.529,1186
1409,14,1.237,1167
1410,14,0.735,1535
1411,14,1.023,5202
1412,14,0.54,2437
1413,14,0.869,1837
1414,14,1.181,2758
1415,14,1.184,3181
1416,14,1.215,871
1417,14,0.5,271
1418,14,0.779,3400
1501,15,0.782,3564
1502,15,0.661,943
1504,15,1.022,2058
1505,15,0.973,3474
1506,15,0.558,3064
1507,15,0.896,1856
