origin,0,216,242,611,1208,1211,1215,1219,1307,1312,1503,1517,3907,3919,4010
0.0,1769.3268373738797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106.0,318.6686443833759,0.0,0.0,0.0,447.5483647173932,350.0,0.0,0.0,0.0,0.0,0.0,82.79588125799168,150.85827350880217,0.0,0.0
216.0,306.5356201474187,0.0,0.0,0.0,159.22776215861714,0.0,0.0,129.7643938344765,118.72851036954152,0.0,174.7100880072977,49.71352522373443,0.0,0.0,0.0
222.0,53.87916102288827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.56047370785723,239.4318119747121,0.0,0.0,0.0
242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0
326.0,0.0,0.0,0.0,205.72934722013812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611.0,114.89840978676854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
802.0,81.40609494487857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
807.0,44.867408021825554,0.0,47.97187348427793,0.0,0.0,0.0,35.67877765883278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1215.0,35.67877765883278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1219.0,37.76692921828695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.097363714707946,0.0,0.0
1307.0,15.57375692289268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.10209770028357,0.0,0.0
1503.0,219.58555322906835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517.0,1177.8093103589094,177.29738766572447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.6475632817546
2112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.26457428904214,0.0,0.0,0.0
3907.0,2707.5569018957967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,350.0,0.0,0.0,150.85827350880217,0.0
3919.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4010.0,2754.598980724597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
