mode,ClusterName,StopCode,TAZ,nontransfer,transfer,all
bus,אילת עירוני ובינעירוני,47962.000,4010,0.262,0.000,0.262
bus,אשדוד-אשקלון-ירושלים,5602.000,3609,0.071,0.000,0.071
bus,אשכול דרומי,15657.000,901,0.333,0.000,0.333
bus,בקעת אונו אלעד,39707.000,3515,1.476,0.000,1.476
bus,הגליל,2328.000,3418,0.119,0.000,0.119
bus,הגליל,20037.000,3613,0.024,0.000,0.024
bus,הגליל,20147.000,3704,0.024,0.000,0.024
bus,הגליל,26554.000,3516,1.810,0.000,1.810
bus,הגליל,30856.000,3914,0.024,0.000,0.024
bus,הגליל,40228.000,3911,0.452,0.000,0.452
bus,הגליל,40273.000,1203,0.905,0.000,0.905
bus,הגליל,40309.000,1718,0.500,0.000,0.500
bus,הגליל,40311.000,1718,0.310,0.000,0.310
bus,הגליל,40320.000,1105,0.048,0.000,0.048
bus,הגליל,40322.000,1105,1.238,0.000,1.238
bus,הגליל,40345.000,1815,0.262,0.024,0.286
bus,הגליל,40505.000,903,2.167,0.143,2.310
bus,הגליל,40507.000,909,0.738,0.024,0.762
bus,הגליל,40508.000,904,3.262,0.119,3.381
bus,הגליל,40509.000,904,0.667,0.000,0.667
bus,הגליל,40512.000,905,0.071,0.000,0.071
bus,הגליל,40518.000,905,0.214,0.000,0.214
bus,הגליל,40520.000,904,0.619,0.048,0.667
bus,הגליל,40529.000,901,0.286,0.000,0.286
bus,הגליל,40534.000,602,1.190,0.024,1.214
bus,הגליל,40543.000,809,16.167,1.452,17.619
bus,הגליל,40554.000,2207,0.262,0.024,0.286
bus,הגליל,40752.000,4010,0.286,0.000,0.286
bus,הגליל,40881.000,911,1.381,0.143,1.524
bus,הגליל,40882.000,922,5.524,1.143,6.667
bus,הגליל,41145.000,1403,0.048,0.000,0.048
bus,הגליל,41162.000,1304,0.048,0.000,0.048
bus,הגליל,41164.000,1402,0.286,0.000,0.286
bus,הגליל,41184.000,1625,0.143,0.000,0.143
bus,הגליל,41185.000,1625,0.071,0.000,0.071
bus,הגליל,41186.000,1715,0.476,0.000,0.476
bus,הגליל,41189.000,1623,0.024,0.000,0.024
bus,הגליל,41292.000,1209,0.238,0.000,0.238
bus,הגליל,41296.000,1203,19.976,2.619,22.595
bus,הגליל,41346.000,921,0.024,0.000,0.024
bus,הגליל,41423.000,612,3.381,0.286,3.667
bus,הגליל,41433.000,702,0.310,0.000,0.310
bus,הגליל,41464.000,1102,1.571,0.071,1.643
bus,הגליל,41476.000,1221,14.429,1.024,15.452
bus,הגליל,41477.000,1209,3.024,0.643,3.667
bus,הגליל,41478.000,602,5.452,0.143,5.595
bus,הגליל,41479.000,605,2.333,0.095,2.429
bus,הגליל,41480.000,602,19.429,1.476,20.905
bus,הגליל,41482.000,704,1.119,0.214,1.333
bus,הגליל,41483.000,707,13.976,0.405,14.381
bus,הגליל,41484.000,705,43.476,3.143,46.619
bus,הגליל,41503.000,613,2.333,0.024,2.357
bus,הגליל,41504.000,613,2.000,0.143,2.143
bus,הגליל,41522.000,1105,0.214,0.024,0.238
bus,הגליל,41524.000,2207,0.333,0.000,0.333
bus,הגליל,41607.000,612,0.690,0.024,0.714
bus,הגליל,41609.000,602,13.095,0.381,13.476
bus,הגליל,41631.000,809,0.119,0.000,0.119
bus,הגליל,41632.000,601,0.190,0.024,0.214
bus,הגליל,41633.000,601,12.881,1.857,14.738
bus,הגליל,41654.000,601,1.381,0.452,1.833
bus,הגליל,41714.000,612,18.286,1.881,20.167
bus,הגליל,41790.000,613,8.833,0.429,9.262
bus,הגליל,41791.000,601,0.905,0.024,0.929
bus,הגליל,41792.000,613,1.619,0.000,1.619
bus,הגליל,41804.000,1103,1.833,0.119,1.952
bus,הגליל,41831.000,1804,0.571,0.000,0.571
bus,הגליל,41896.000,1816,1.000,0.000,1.000
bus,הגליל,41918.000,702,0.333,0.000,0.333
bus,הגליל,42093.000,1504,0.143,0.000,0.143
bus,הגליל,42315.000,1211,0.167,0.024,0.190
bus,הגליל,42335.000,1712,0.095,0.024,0.119
bus,הגליל,42363.000,602,2.429,0.095,2.524
bus,הגליל,42409.000,1101,1.024,0.000,1.024
bus,הגליל,42410.000,1106,0.024,0.071,0.095
bus,הגליל,42536.000,601,15.429,1.500,16.929
bus,הגליל,42537.000,601,0.357,0.071,0.429
bus,הגליל,42644.000,1718,0.024,0.000,0.024
bus,הגליל,42647.000,1624,0.024,0.000,0.024
bus,הגליל,42667.000,704,27.905,2.976,30.881
bus,הגליל,42671.000,2502,0.024,0.000,0.024
bus,הגליל,42803.000,1101,0.048,0.000,0.048
bus,הגליל,42933.000,3914,0.881,0.000,0.881
bus,הגליל,42938.000,1203,1.952,0.167,2.119
bus,הגליל,42953.000,1504,0.143,0.000,0.143
bus,הגליל,42978.000,1307,0.071,0.000,0.071
bus,הגליל,42990.000,1211,0.071,0.000,0.071
bus,הגליל,42992.000,1209,3.619,0.119,3.738
bus,הגליל,43007.000,1222,2.881,0.310,3.190
bus,הגליל,43009.000,1219,143.333,16.095,159.429
bus,הגליל,43015.000,1718,0.119,0.000,0.119
bus,הגליל,43016.000,1712,0.190,0.000,0.190
bus,הגליל,43022.000,1718,0.095,0.000,0.095
bus,הגליל,43023.000,2201,0.310,0.000,0.310
bus,הגליל,43024.000,2201,0.643,0.024,0.667
bus,הגליל,43025.000,2204,1.952,0.000,1.952
bus,הגליל,43029.000,2205,1.833,0.024,1.857
bus,הגליל,43037.000,809,0.524,0.024,0.548
bus,הגליל,43045.000,906,0.024,0.000,0.024
bus,הגליל,43046.000,904,0.048,0.024,0.071
bus,הגליל,43047.000,904,0.238,0.024,0.262
bus,הגליל,43048.000,904,3.762,0.095,3.857
bus,הגליל,43049.000,905,0.905,0.000,0.905
bus,הגליל,43050.000,909,0.095,0.024,0.119
bus,הגליל,43051.000,909,0.167,0.048,0.214
bus,הגליל,43052.000,909,0.167,0.095,0.262
bus,הגליל,43053.000,806,19.286,2.429,21.714
bus,הגליל,43054.000,905,0.476,0.024,0.500
bus,הגליל,43055.000,905,0.167,0.000,0.167
bus,הגליל,43056.000,905,0.286,0.024,0.310
bus,הגליל,43058.000,903,8.833,0.286,9.119
bus,הגליל,43059.000,910,0.452,0.095,0.548
bus,הגליל,43060.000,903,1.619,0.095,1.714
bus,הגליל,43061.000,914,1.333,0.095,1.429
bus,הגליל,43063.000,902,1.333,0.214,1.548
bus,הגליל,43066.000,902,0.143,0.000,0.143
bus,הגליל,43069.000,1203,0.310,0.000,0.310
bus,הגליל,43070.000,1203,1.119,0.143,1.262
bus,הגליל,43073.000,1718,0.071,0.000,0.071
bus,הגליל,43076.000,1718,0.048,0.000,0.048
bus,הגליל,43083.000,406,18.048,0.881,18.929
bus,הגליל,43134.000,1105,0.214,0.000,0.214
bus,הגליל,43137.000,1105,0.238,0.000,0.238
bus,הגליל,43208.000,4022,0.190,0.000,0.190
bus,הגליל,43270.000,2207,0.333,0.000,0.333
bus,הגליל,46034.000,3912,0.357,0.000,0.357
bus,הגליל,46179.000,2506,0.048,0.000,0.048
bus,הגליל,47051.000,2204,1.119,0.000,1.119
bus,הגליל,47207.000,4022,0.024,0.000,0.024
bus,הגליל,47361.000,701,0.024,0.000,0.024
bus,הגליל,47664.000,701,0.095,0.000,0.095
bus,הגליל,47665.000,701,0.000,0.024,0.024
bus,הגליל,47669.000,701,0.024,0.000,0.024
bus,הגליל,50003.000,117,5.810,0.214,6.024
bus,הגליל,50004.000,117,1.976,0.024,2.000
bus,הגליל,50006.000,117,7.262,0.024,7.286
bus,הגליל,50007.000,117,4.667,0.000,4.667
bus,הגליל,50009.000,118,10.429,0.071,10.500
bus,הגליל,50012.000,117,3.643,0.048,3.690
bus,הגליל,50013.000,117,6.190,0.167,6.357
bus,הגליל,50015.000,117,28.905,0.119,29.024
bus,הגליל,50016.000,117,11.524,0.048,11.571
bus,הגליל,50020.000,117,12.310,0.095,12.405
bus,הגליל,50022.000,117,8.762,0.024,8.786
bus,הגליל,50023.000,117,15.667,0.119,15.786
bus,הגליל,50028.000,117,6.238,0.071,6.310
bus,הגליל,50029.000,117,17.619,0.119,17.738
bus,הגליל,50031.000,116,18.810,0.119,18.929
bus,הגליל,50033.000,402,0.286,0.000,0.286
bus,הגליל,50034.000,106,16.619,0.048,16.667
bus,הגליל,50037.000,117,7.310,0.000,7.310
bus,הגליל,50038.000,106,28.929,0.262,29.190
bus,הגליל,50040.000,106,11.762,0.190,11.952
bus,הגליל,50041.000,402,0.976,0.000,0.976
bus,הגליל,50044.000,208,0.095,0.000,0.095
bus,הגליל,50045.000,210,0.500,0.071,0.571
bus,הגליל,50046.000,106,7.095,0.071,7.167
bus,הגליל,50048.000,419,2.167,0.000,2.167
bus,הגליל,50049.000,106,13.024,0.071,13.095
bus,הגליל,50050.000,117,5.048,0.000,5.048
bus,הגליל,50051.000,727,3.048,0.214,3.262
bus,הגליל,50053.000,108,1.381,0.000,1.381
bus,הגליל,50054.000,115,23.929,0.143,24.071
bus,הגליל,50056.000,210,0.238,0.167,0.405
bus,הגליל,50057.000,118,7.714,0.405,8.119
bus,הגליל,50058.000,117,10.000,0.405,10.405
bus,הגליל,50059.000,117,10.857,0.048,10.905
bus,הגליל,50060.000,1002,1.667,0.000,1.667
bus,הגליל,50062.000,115,23.500,0.071,23.571
bus,הגליל,50063.000,108,2.619,0.024,2.643
bus,הגליל,50064.000,107,5.452,0.071,5.524
bus,הגליל,50066.000,241,0.048,0.000,0.048
bus,הגליל,50068.000,240,0.214,0.000,0.214
bus,הגליל,50070.000,240,0.238,0.000,0.238
bus,הגליל,50071.000,210,1.833,0.024,1.857
bus,הגליל,50072.000,116,10.690,0.024,10.714
bus,הגליל,50073.000,210,0.024,0.000,0.024
bus,הגליל,50074.000,116,18.000,0.048,18.048
bus,הגליל,50075.000,1916,0.500,0.024,0.524
bus,הגליל,50076.000,107,3.738,0.190,3.929
bus,הגליל,50077.000,111,3.405,0.000,3.405
bus,הגליל,50081.000,210,0.810,0.000,0.810
bus,הגליל,50082.000,111,8.381,0.048,8.429
bus,הגליל,50083.000,210,16.976,0.333,17.310
bus,הגליל,50085.000,240,1.619,0.000,1.619
bus,הגליל,50086.000,115,17.500,0.048,17.548
bus,הגליל,50087.000,240,1.000,0.000,1.000
bus,הגליל,50089.000,240,1.381,0.000,1.381
bus,הגליל,50090.000,111,27.738,0.143,27.881
bus,הגליל,50091.000,111,2.857,0.024,2.881
bus,הגליל,50092.000,111,4.381,0.024,4.405
bus,הגליל,50093.000,106,263.595,15.071,278.667
bus,הגליל,50096.000,106,0.619,0.000,0.619
bus,הגליל,50097.000,240,0.167,0.000,0.167
bus,הגליל,50099.000,115,11.310,0.071,11.381
bus,הגליל,50100.000,240,0.143,0.000,0.143
bus,הגליל,50101.000,111,11.952,0.000,11.952
bus,הגליל,50103.000,240,0.024,0.000,0.024
bus,הגליל,50104.000,240,0.833,0.000,0.833
bus,הגליל,50106.000,111,6.143,0.310,6.452
bus,הגליל,50107.000,306,1.214,0.048,1.262
bus,הגליל,50108.000,306,1.143,0.024,1.167
bus,הגליל,50109.000,111,7.810,0.048,7.857
bus,הגליל,50111.000,111,16.810,0.048,16.857
bus,הגליל,50112.000,403,0.476,0.000,0.476
bus,הגליל,50114.000,240,0.452,0.000,0.452
bus,הגליל,50118.000,239,0.262,0.000,0.262
bus,הגליל,50119.000,116,0.143,0.000,0.143
bus,הגליל,50121.000,106,6.190,0.714,6.905
bus,הגליל,50122.000,240,2.881,0.024,2.905
bus,הגליל,50123.000,105,12.214,0.024,12.238
bus,הגליל,50125.000,106,2.000,0.000,2.000
bus,הגליל,50126.000,106,0.976,0.048,1.024
bus,הגליל,50127.000,208,0.024,0.000,0.024
bus,הגליל,50128.000,114,14.333,0.262,14.595
bus,הגליל,50129.000,232,0.500,0.000,0.500
bus,הגליל,50130.000,232,0.286,0.000,0.286
bus,הגליל,50132.000,105,7.333,0.095,7.429
bus,הגליל,50134.000,112,4.190,0.000,4.190
bus,הגליל,50135.000,115,3.643,0.000,3.643
bus,הגליל,50136.000,232,0.333,0.000,0.333
bus,הגליל,50140.000,105,0.524,0.000,0.524
bus,הגליל,50142.000,105,62.571,0.976,63.548
bus,הגליל,50143.000,105,1.452,0.000,1.452
bus,הגליל,50145.000,242,0.238,0.000,0.238
bus,הגליל,50147.000,111,15.857,0.952,16.810
bus,הגליל,50148.000,111,7.976,0.024,8.000
bus,הגליל,50151.000,114,19.429,0.262,19.690
bus,הגליל,50152.000,242,0.167,0.000,0.167
bus,הגליל,50153.000,111,55.500,0.381,55.881
bus,הגליל,50154.000,242,0.476,0.000,0.476
bus,הגליל,50155.000,105,2.452,0.048,2.500
bus,הגליל,50157.000,105,1.595,0.000,1.595
bus,הגליל,50158.000,114,18.500,0.095,18.595
bus,הגליל,50159.000,111,3.548,0.095,3.643
bus,הגליל,50160.000,105,0.571,0.071,0.643
bus,הגליל,50164.000,242,0.643,0.000,0.643
bus,הגליל,50168.000,101,0.119,0.024,0.143
bus,הגליל,50173.000,105,2.833,0.000,2.833
bus,הגליל,50174.000,112,8.524,0.000,8.524
bus,הגליל,50175.000,111,4.071,0.048,4.119
bus,הגליל,50178.000,111,4.643,0.024,4.667
bus,הגליל,50179.000,101,0.524,0.000,0.524
bus,הגליל,50181.000,101,0.071,0.000,0.071
bus,הגליל,50186.000,111,0.976,0.071,1.048
bus,הגליל,50187.000,105,0.476,0.048,0.524
bus,הגליל,50188.000,112,2.333,0.000,2.333
bus,הגליל,50189.000,103,3.190,0.024,3.214
bus,הגליל,50190.000,103,0.500,0.000,0.500
bus,הגליל,50192.000,1004,0.071,0.000,0.071
bus,הגליל,50193.000,310,1.048,0.000,1.048
bus,הגליל,50194.000,104,3.476,0.024,3.500
bus,הגליל,50195.000,103,1.643,0.024,1.667
bus,הגליל,50196.000,103,0.310,0.024,0.333
bus,הגליל,50198.000,112,9.905,0.000,9.905
bus,הגליל,50199.000,112,1.167,0.000,1.167
bus,הגליל,50200.000,2101,0.643,0.000,0.643
bus,הגליל,50207.000,114,14.929,0.048,14.976
bus,הגליל,50209.000,104,15.119,0.214,15.333
bus,הגליל,50210.000,114,12.643,0.000,12.643
bus,הגליל,50212.000,102,2.214,0.000,2.214
bus,הגליל,50215.000,103,3.167,0.000,3.167
bus,הגליל,50216.000,112,7.738,0.000,7.738
bus,הגליל,50217.000,101,0.476,0.024,0.500
bus,הגליל,50218.000,101,0.095,0.000,0.095
bus,הגליל,50219.000,112,10.310,0.000,10.310
bus,הגליל,50220.000,112,3.381,0.024,3.405
bus,הגליל,50223.000,242,2.357,0.000,2.357
bus,הגליל,50225.000,103,0.238,0.000,0.238
bus,הגליל,50226.000,104,6.429,0.000,6.429
bus,הגליל,50227.000,104,15.048,0.024,15.071
bus,הגליל,50229.000,105,0.881,0.000,0.881
bus,הגליל,50230.000,105,1.976,0.000,1.976
bus,הגליל,50232.000,101,0.333,0.000,0.333
bus,הגליל,50234.000,104,11.571,0.048,11.619
bus,הגליל,50235.000,242,0.429,0.000,0.429
bus,הגליל,50236.000,104,12.048,0.024,12.071
bus,הגליל,50237.000,242,0.048,0.000,0.048
bus,הגליל,50238.000,242,0.095,0.000,0.095
bus,הגליל,50240.000,242,0.048,0.000,0.048
bus,הגליל,50242.000,112,20.381,0.000,20.381
bus,הגליל,50244.000,104,13.500,0.024,13.524
bus,הגליל,50245.000,105,0.952,0.000,0.952
bus,הגליל,50247.000,210,2.667,0.024,2.690
bus,הגליל,50255.000,3314,2.524,0.000,2.524
bus,הגליל,50256.000,101,0.476,0.000,0.476
bus,הגליל,50257.000,112,8.929,0.119,9.048
bus,הגליל,50258.000,101,0.024,0.000,0.024
bus,הגליל,50259.000,101,1.000,0.000,1.000
bus,הגליל,50260.000,3314,69.762,0.905,70.667
bus,הגליל,50261.000,415,2.071,0.024,2.095
bus,הגליל,50263.000,113,1.833,0.000,1.833
bus,הגליל,50265.000,101,0.048,0.000,0.048
bus,הגליל,50267.000,101,0.095,0.000,0.095
bus,הגליל,50269.000,101,1.071,0.024,1.095
bus,הגליל,50270.000,101,0.024,0.000,0.024
bus,הגליל,50274.000,113,10.976,0.190,11.167
bus,הגליל,50275.000,113,3.571,0.119,3.690
bus,הגליל,50276.000,413,0.238,0.119,0.357
bus,הגליל,50277.000,413,0.262,0.024,0.286
bus,הגליל,50278.000,413,0.048,0.000,0.048
bus,הגליל,50279.000,413,0.595,0.000,0.595
bus,הגליל,50280.000,414,0.500,0.000,0.500
bus,הגליל,50282.000,413,0.333,0.000,0.333
bus,הגליל,50283.000,107,3.381,0.071,3.452
bus,הגליל,50285.000,107,2.714,0.119,2.833
bus,הגליל,50287.000,101,1.738,0.000,1.738
bus,הגליל,50288.000,101,0.405,0.000,0.405
bus,הגליל,50289.000,403,1.143,0.000,1.143
bus,הגליל,50290.000,403,1.405,0.024,1.429
bus,הגליל,50294.000,110,0.405,0.000,0.405
bus,הגליל,50296.000,101,0.714,0.000,0.714
bus,הגליל,50297.000,109,5.167,0.000,5.167
bus,הגליל,50299.000,101,0.452,0.024,0.476
bus,הגליל,50300.000,101,7.524,0.095,7.619
bus,הגליל,50304.000,101,1.786,0.000,1.786
bus,הגליל,50306.000,101,4.714,0.071,4.786
bus,הגליל,50308.000,403,0.048,0.000,0.048
bus,הגליל,50309.000,109,0.190,0.024,0.214
bus,הגליל,50310.000,403,0.214,0.000,0.214
bus,הגליל,50312.000,110,0.286,0.000,0.286
bus,הגליל,50315.000,109,4.667,0.405,5.071
bus,הגליל,50319.000,110,0.381,0.000,0.381
bus,הגליל,50322.000,101,4.952,0.000,4.952
bus,הגליל,50324.000,109,0.452,0.000,0.452
bus,הגליל,50325.000,110,1.690,0.000,1.690
bus,הגליל,50326.000,110,0.262,0.000,0.262
bus,הגליל,50327.000,101,3.310,0.000,3.310
bus,הגליל,50330.000,101,0.024,0.000,0.024
bus,הגליל,50332.000,1914,0.714,0.024,0.738
bus,הגליל,50342.000,101,2.381,0.048,2.429
bus,הגליל,50344.000,110,0.381,0.024,0.405
bus,הגליל,50345.000,110,2.905,0.000,2.905
bus,הגליל,50347.000,101,0.048,0.000,0.048
bus,הגליל,50352.000,109,0.071,0.000,0.071
bus,הגליל,50353.000,110,1.976,0.024,2.000
bus,הגליל,50354.000,101,0.024,0.000,0.024
bus,הגליל,50357.000,110,1.143,0.000,1.143
bus,הגליל,50359.000,101,3.000,0.000,3.000
bus,הגליל,50362.000,3422,1.262,0.024,1.286
bus,הגליל,50363.000,3422,0.452,0.000,0.452
bus,הגליל,50366.000,231,2.095,0.048,2.143
bus,הגליל,50369.000,109,0.714,0.000,0.714
bus,הגליל,50371.000,208,0.262,0.024,0.286
bus,הגליל,50374.000,231,1.976,0.024,2.000
bus,הגליל,50375.000,110,0.357,0.000,0.357
bus,הגליל,50377.000,231,1.833,0.000,1.833
bus,הגליל,50380.000,230,0.048,0.000,0.048
bus,הגליל,50387.000,403,0.405,0.000,0.405
bus,הגליל,50390.000,310,1.786,0.000,1.786
bus,הגליל,50391.000,310,1.690,0.048,1.738
bus,הגליל,50392.000,403,0.833,0.000,0.833
bus,הגליל,50393.000,403,0.500,0.000,0.500
bus,הגליל,50394.000,412,2.929,0.024,2.952
bus,הגליל,50396.000,207,0.095,0.000,0.095
bus,הגליל,50397.000,3422,0.024,0.000,0.024
bus,הגליל,50398.000,403,4.071,0.000,4.071
bus,הגליל,50399.000,3422,1.619,0.024,1.643
bus,הגליל,50400.000,3422,0.905,0.000,0.905
bus,הגליל,50402.000,109,1.214,0.000,1.214
bus,הגליל,50405.000,3429,1.024,0.000,1.024
bus,הגליל,50406.000,403,0.357,0.000,0.357
bus,הגליל,50407.000,3403,0.357,0.000,0.357
bus,הגליל,50408.000,3403,0.071,0.000,0.071
bus,הגליל,50409.000,3403,0.048,0.024,0.071
bus,הגליל,50410.000,3403,0.024,0.000,0.024
bus,הגליל,50412.000,3403,0.024,0.000,0.024
bus,הגליל,50413.000,403,2.238,0.000,2.238
bus,הגליל,50414.000,3403,0.048,0.000,0.048
bus,הגליל,50415.000,3403,0.357,0.000,0.357
bus,הגליל,50418.000,3402,1.000,0.000,1.000
bus,הגליל,50421.000,3422,0.262,0.000,0.262
bus,הגליל,50426.000,3422,0.952,0.000,0.952
bus,הגליל,50428.000,3402,1.262,0.000,1.262
bus,הגליל,50430.000,3402,0.429,0.000,0.429
bus,הגליל,50435.000,3422,2.476,0.000,2.476
bus,הגליל,50436.000,3422,0.262,0.000,0.262
bus,הגליל,50441.000,3403,1.976,0.000,1.976
bus,הגליל,50444.000,3422,0.167,0.000,0.167
bus,הגליל,50445.000,3422,0.048,0.000,0.048
bus,הגליל,50449.000,3422,0.214,0.000,0.214
bus,הגליל,50454.000,3403,0.548,0.000,0.548
bus,הגליל,50458.000,2209,3.095,0.000,3.095
bus,הגליל,50461.000,3428,0.214,0.000,0.214
bus,הגליל,50463.000,3428,0.738,0.000,0.738
bus,הגליל,50464.000,403,0.071,0.000,0.071
bus,הגליל,50467.000,403,1.286,0.000,1.286
bus,הגליל,50469.000,3419,0.024,0.000,0.024
bus,הגליל,50474.000,3419,6.857,0.024,6.881
bus,הגליל,50478.000,415,0.286,0.024,0.310
bus,הגליל,50480.000,3428,2.024,0.000,2.024
bus,הגליל,50483.000,337,1.571,0.024,1.595
bus,הגליל,50485.000,3418,1.667,0.000,1.667
bus,הגליל,50488.000,415,0.786,0.048,0.833
bus,הגליל,50491.000,335,0.167,0.048,0.214
bus,הגליל,50492.000,311,1.024,0.000,1.024
bus,הגליל,50493.000,3418,1.405,0.000,1.405
bus,הגליל,50494.000,3418,0.119,0.000,0.119
bus,הגליל,50496.000,3418,2.595,0.000,2.595
bus,הגליל,50497.000,3418,0.357,0.000,0.357
bus,הגליל,50502.000,335,0.286,0.000,0.286
bus,הגליל,50503.000,311,0.190,0.000,0.190
bus,הגליל,50504.000,3418,0.190,0.000,0.190
bus,הגליל,50505.000,3418,0.476,0.000,0.476
bus,הגליל,50507.000,3418,3.595,0.500,4.095
bus,הגליל,50511.000,3417,14.500,0.095,14.595
bus,הגליל,50513.000,3417,15.833,0.381,16.214
bus,הגליל,50514.000,3417,0.262,0.000,0.262
bus,הגליל,50515.000,415,0.381,0.024,0.405
bus,הגליל,50516.000,3424,0.905,0.024,0.929
bus,הגליל,50517.000,336,2.167,0.000,2.167
bus,הגליל,50522.000,3417,0.429,0.000,0.429
bus,הגליל,50523.000,3417,5.524,0.190,5.714
bus,הגליל,50524.000,3417,1.143,0.000,1.143
bus,הגליל,50531.000,314,9.071,0.167,9.238
bus,הגליל,50532.000,314,0.643,0.000,0.643
bus,הגליל,50534.000,314,1.452,0.000,1.452
bus,הגליל,50535.000,3421,0.286,0.000,0.286
bus,הגליל,50537.000,3416,2.571,0.095,2.667
bus,הגליל,50541.000,3425,0.524,0.000,0.524
bus,הגליל,50544.000,304,1.405,0.000,1.405
bus,הגליל,50546.000,415,0.810,0.000,0.810
bus,הגליל,50547.000,3425,1.024,0.024,1.048
bus,הגליל,50548.000,415,0.667,0.000,0.667
bus,הגליל,50551.000,315,1.452,0.000,1.452
bus,הגליל,50553.000,3421,1.024,0.000,1.024
bus,הגליל,50556.000,312,2.333,0.000,2.333
bus,הגליל,50557.000,312,2.857,0.000,2.857
bus,הגליל,50558.000,3412,0.524,0.071,0.595
bus,הגליל,50559.000,315,0.024,0.000,0.024
bus,הגליל,50560.000,301,0.595,0.024,0.619
bus,הגליל,50562.000,301,0.167,0.000,0.167
bus,הגליל,50564.000,3416,1.000,0.000,1.000
bus,הגליל,50565.000,3416,18.048,0.167,18.214
bus,הגליל,50566.000,412,0.762,0.024,0.786
bus,הגליל,50567.000,3421,1.381,0.048,1.429
bus,הגליל,50568.000,3412,0.190,0.024,0.214
bus,הגליל,50569.000,412,1.381,0.071,1.452
bus,הגליל,50572.000,415,3.667,0.000,3.667
bus,הגליל,50574.000,417,0.262,0.000,0.262
bus,הגליל,50575.000,3421,2.333,0.024,2.357
bus,הגליל,50577.000,412,0.381,0.000,0.381
bus,הגליל,50578.000,328,1.357,0.024,1.381
bus,הגליל,50579.000,3416,3.286,0.000,3.286
bus,הגליל,50581.000,3416,6.714,0.024,6.738
bus,הגליל,50582.000,412,0.333,0.048,0.381
bus,הגליל,50584.000,3411,0.690,0.071,0.762
bus,הגליל,50585.000,315,1.262,0.000,1.262
bus,הגליל,50586.000,412,1.405,0.119,1.524
bus,הגליל,50587.000,3416,14.881,0.190,15.071
bus,הגליל,50588.000,326,0.714,0.024,0.738
bus,הגליל,50590.000,328,1.524,0.024,1.548
bus,הגליל,50591.000,331,9.286,0.214,9.500
bus,הגליל,50592.000,328,1.405,0.524,1.929
bus,הגליל,50594.000,3401,0.024,0.000,0.024
bus,הגליל,50597.000,3416,0.381,0.000,0.381
bus,הגליל,50598.000,3415,7.310,0.190,7.500
bus,הגליל,50599.000,3416,19.000,0.143,19.143
bus,הגליל,50602.000,3415,7.476,0.000,7.476
bus,הגליל,50604.000,3415,0.048,0.000,0.048
bus,הגליל,50605.000,412,0.119,0.071,0.190
bus,הגליל,50606.000,412,0.143,0.000,0.143
bus,הגליל,50607.000,1937,1.571,0.000,1.571
bus,הגליל,50608.000,3416,4.786,0.000,4.786
bus,הגליל,50610.000,3415,0.381,0.000,0.381
bus,הגליל,50611.000,412,0.024,0.000,0.024
bus,הגליל,50612.000,3416,7.619,0.048,7.667
bus,הגליל,50615.000,3416,50.881,1.024,51.905
bus,הגליל,50616.000,3412,0.143,0.000,0.143
bus,הגליל,50618.000,416,0.238,0.000,0.238
bus,הגליל,50619.000,416,0.286,0.000,0.286
bus,הגליל,50620.000,3401,0.643,0.000,0.643
bus,הגליל,50622.000,3416,14.786,0.190,14.976
bus,הגליל,50623.000,416,0.071,0.000,0.071
bus,הגליל,50625.000,3415,4.381,0.000,4.381
bus,הגליל,50627.000,416,0.262,0.024,0.286
bus,הגליל,50628.000,3415,2.476,0.024,2.500
bus,הגליל,50629.000,416,0.048,0.024,0.071
bus,הגליל,50632.000,3414,3.738,0.048,3.786
bus,הגליל,50633.000,3415,2.500,0.000,2.500
bus,הגליל,50635.000,3412,3.714,0.024,3.738
bus,הגליל,50637.000,416,0.024,0.000,0.024
bus,הגליל,50638.000,3415,10.119,0.357,10.476
bus,הגליל,50639.000,3415,6.833,0.048,6.881
bus,הגליל,50640.000,3415,14.905,0.190,15.095
bus,הגליל,50641.000,412,1.000,0.000,1.000
bus,הגליל,50642.000,412,3.024,0.000,3.024
bus,הגליל,50644.000,3414,20.786,0.167,20.952
bus,הגליל,50645.000,3416,4.619,0.000,4.619
bus,הגליל,50647.000,412,0.643,0.000,0.643
bus,הגליל,50649.000,2419,0.095,0.000,0.095
bus,הגליל,50650.000,329,9.405,0.024,9.429
bus,הגליל,50651.000,328,4.333,0.048,4.381
bus,הגליל,50652.000,3415,4.214,0.095,4.310
bus,הגליל,50655.000,401,1.738,0.000,1.738
bus,הגליל,50656.000,401,0.119,0.000,0.119
bus,הגליל,50659.000,3414,9.595,0.214,9.810
bus,הגליל,50661.000,3415,1.548,0.024,1.571
bus,הגליל,50662.000,3401,0.048,0.000,0.048
bus,הגליל,50664.000,3401,0.143,0.000,0.143
bus,הגליל,50665.000,3416,43.000,1.071,44.071
bus,הגליל,50666.000,3416,1.262,0.048,1.310
bus,הגליל,50668.000,401,0.167,0.000,0.167
bus,הגליל,50669.000,3414,14.857,0.000,14.857
bus,הגליל,50672.000,3416,0.905,0.000,0.905
bus,הגליל,50673.000,329,1.881,0.024,1.905
bus,הגליל,50674.000,3412,1.524,0.000,1.524
bus,הגליל,50676.000,3416,1.024,0.024,1.048
bus,הגליל,50677.000,3404,2.929,0.000,2.929
